date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:26	30444/30444	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:59%20GMT	http://templates.thememodern.com/amwal/single_case.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single_case.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:26	32054/32054	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:46%20GMT	http://templates.thememodern.com/amwal/news.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/news.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:27	32225/32225	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:44%20GMT	http://templates.thememodern.com/amwal/news-2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/news-2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:27	30525/30525	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:02%20GMT	http://templates.thememodern.com/amwal/single_new.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single_new.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:27	29699/29699	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:09%20GMT	http://templates.thememodern.com/amwal/team.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/team.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:27	31015/31015	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:12%20GMT	http://templates.thememodern.com/amwal/team_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/team_2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:28	29004/29004	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:05%20GMT	http://templates.thememodern.com/amwal/single_team.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single_team.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:28	27225/27225	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:11%20GMT	http://templates.thememodern.com/amwal/testimonials.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/testimonials.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:28	29047/29047	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:15%20GMT	http://templates.thememodern.com/amwal/testimonials_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/testimonials_2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:29	28461/28461	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:55%20GMT	http://templates.thememodern.com/amwal/career.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/career.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:29	40481/40481	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:54%20GMT	http://templates.thememodern.com/amwal/career_single.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/career_single.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:29	25408/25408	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:46%20GMT	http://templates.thememodern.com/amwal/partners.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/partners.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:30	27867/27867	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:51%20GMT	http://templates.thememodern.com/amwal/partners_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/partners_2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:30	28264/28264	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:46%20GMT	http://templates.thememodern.com/amwal/branches.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/branches.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:30	31597/31597	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:58%20GMT	http://templates.thememodern.com/amwal/ceo_message.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/ceo_message.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:31	31258/31258	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:12%20GMT	http://templates.thememodern.com/amwal/faq.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/faq.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:31	30399/30399	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:52%20GMT	http://templates.thememodern.com/amwal/pricing.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/pricing.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:31	25368/25368	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:39%20GMT	http://templates.thememodern.com/amwal/my_account.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/my_account.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:32	4871/4871	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:47%20GMT	http://templates.thememodern.com/amwal/404.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/404.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:32	5207/5207	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:04%20GMT	http://templates.thememodern.com/amwal/comingsoon.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/comingsoon.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:32	42352/42352	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:55%20GMT	http://templates.thememodern.com/amwal/shop.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/shop.html	(from http://templates.thememodern.com/amwal/index.html)
